urn,ts,company,numLikes,numComments,text
6986463907196391424,2022-10-13 23:13:17,walmart,315,13,"Our Live Better U program creates opportunity for our associates, allowing them to earn degrees and discover personal growth—at no cost to them. In fact, the program has saved our associates $333 million in tuition costs since its launch!  

Learn more about the benefit and how it's changing associates' lives: https://bit.ly/3CVeuuH"
6986311815613874176,2022-10-13 13:08:56,walmart,75,0,
6986076511422357504,2022-10-12 21:33:55,walmart,208,5,"As we celebrate U.S. Manufacturing Month and Hispanic Heritage Month, we’re reflecting on how opportunity can often be found at life’s intersections. 

Ana Quincoces left her law practice so she could follow her passion: making sauce. It’s a choice she said was scary at the time. Watch below as Ana talks about taking the leap, her Hispanic heritage and working with Walmart.  

#HispanicHeritageMonth #ManufacturingMonth #USManufacturing "
6986023846587883521,2022-10-12 18:04:39,walmart,172,4,
6985963051212554240,2022-10-12 14:03:04,walmart,235,5,"Walmart Luminate’s new ‘Basic’ package is anything but basic. The new package is free of cost, making it even easier for suppliers of all sizes to work with merchants to grow their shared business.  Learn more: https://bit.ly/3MmSNa9"
6985692056425832448,2022-10-11 20:06:14,walmart,86,5,"ICYMI: Our latest episode of the Breaking Ground series features bikes, scooters and other ways to incorporate movement into the day-to-day. 🚲 🛵 Check it out! https://bit.ly/3eg8aR3  "
6985597393878597632,2022-10-11 13:50:04,walmart,206,3,"We’re excited to announce the launch of Walmart Healthcare Research Institute, a new initiative aimed at increasing community access to healthcare research to help improve the safety, quality and equity of care in underserved populations. Learn more: https://bit.ly/3CoClSa"
6985394674014306304,2022-10-11 00:24:32,walmart,847,16,"We recently celebrated the opening of a new Classic Fashion and the Cut & Sew Co., Inc. facility in Santa Ana, California. This facility is the beginning of a five-year commitment to invest $4 million towards automation which will create jobs and furthers our goal to procure goods made, grown or assembled in the U.S. 

Learn more about Walmart’s commitment to U.S. manufacturing and building strong, local communities: https://bit.ly/2By30QP

#ManufacturingMonth #USManufacturing #Manufacturing

"
6985332288695779328,2022-10-10 20:16:38,walmart,134,12,"Family first ☝️ Doreen wants everyone to feel included and appreciated at our Automated Consolidation Center in Colton, California—like a family. She shares what her Hispanic heritage means to her, and what it means to see her culture celebrated by Walmart. #HispanicHeritageMonth   "
6985271408901726209,2022-10-10 16:14:43,walmart,305,5,"We’re honored to be included in Fortune’s #ChangeTheWorld list for the 8th year in a row! This year’s recognition is thanks to our Health & Wellness team for being the first to launch a private label insulin, ReliOn. Since launch, we’ve saved our customers $15 million on their insulin. https://bit.ly/2ZUMnrE"
6984511232305229824,2022-10-08 13:54:03,walmart,1423,40,"We're celebrating Walmart Mexico's 300th Supercenter opening in Petempich, Solidarity, Quintana Roo! This regenerative store creates 48K jobs, generating a positive impact on the community and the planet—a beautiful combo! 🤝"
6984151943401086976,2022-10-07 14:06:22,walmart,264,5,"While The Walmart Museum gets a modern makeover, Bentonville residents and visitors can experience the Museum's temporary home at The Ledger beginning Nov. 1, 2022. Read more: https://bit.ly/3SPOPsX"
6983870389336612864,2022-10-06 19:27:34,walmart,119,1,"Our 2022 Sustainability Milestone Summit was a celebration of progress, a reminder of the work ahead and a look at how we are collaborating with our associates, suppliers and others to build a better future for the planet and its people. Check out some highlights! https://bit.ly/3VcdXfg 

#WMTSustainability"
6983792536532238336,2022-10-06 14:18:13,walmart,103,2,"To get into the collectible spirit during our last Collector Con of the year, we're releasing two exclusive items on our new AutoT platform to add to your collection: a Teenage Mutant Ninja Turtles action figure autographed by Kevin Eastman and Bob Ross lithographs. Check it out and stay tuned for another exclusive drop tomorrow! 👀 https://lnkd.in/gAetXh_z"
6983542342892855296,2022-10-05 21:44:02,walmart,196,4,"Last week, we held a Global Seller Summit in Delhi, bringing together over 500 India-based sellers, manufacturers and brands. Not only did attendees hear how they can better serve shoppers in the U.S. on Walmart.com, but they also learned Walmart is now welcoming Indian businesses to apply to join Walmart Canada Marketplace. Learn more about the event and what brands are loving about Walmart Marketplace: https://bit.ly/3CAwJp3"
6983486756314644480,2022-10-05 18:03:09,walmart,180,14,"We're focused on creating equitable educational opportunities for Black & African Americans. To help promote growth and mobility in underserved areas, we're committing $2.5 million to support organizations focused on supporting multiple pathways to careers, as well as hosting the inaugural HBCU Student Summit in Northwest Arkansas on Oct. 7-10.  

Read more from our Education Shared Value Network lead, Earvin Young Jr: https://bit.ly/3V34F4V"
6983431461668347905,2022-10-05 14:23:26,walmart,133,2,"Don’t leaf your health behind! 🍂 On Saturday, Oct. 8 from 10 a.m. to 2 p.m., more than 4,600 Walmart pharmacies are hosting Walmart Wellness Day, with low-cost and affordable vaccines, including flu and COVID-19 boosters, resources and more. Plan your visit: https://bit.ly/3yiBZv6"
6983210611237154816,2022-10-04 23:45:51,walmart,258,1,
6983159746165952512,2022-10-04 20:23:44,walmart,395,13,"Expecting a bundle of joy? 👶 We’re introducing a new Baby Registry experience on our site and the Walmart app to help you plan, prep and save for parenthood. With new features like scan-to-add, building your wishlist for baby is easier than ever. Learn more about this and more upgrades to our app and site: https://bit.ly/3L5m2xz"
6982837700512948224,2022-10-03 23:04:02,walmart,203,10,Thanks to our customers and members—who donated $2.5M in just three days!—we met our 1:1 match and raised a total of $5M in support of the American Red Cross's hurricane relief efforts. 💛 Learn more about our commitment: https://bit.ly/3y8ROVg
6982766158936518656,2022-10-03 18:19:45,walmart,125,10,
6982690233427378176,2022-10-03 13:18:03,walmart,130,1,"Calling all collectors! Walmart and NECA - National Entertainment Collectibles Association are launching AutoT, a revolutionary digital collectible platform featuring limited-edition figures and collectibles, including Teenage Ninja Turtles figures and Bob Ross collectible lithographs. You can store your digital collectible for up to two years free of charge in the NECA Vault or have the physical item shipped to you. Learn more: https://bit.ly/3fC7CcH"
6981714695258861568,2022-09-30 20:41:37,walmart,126,4,
6981638577952587776,2022-09-30 15:39:09,walmart,1346,50,"We’ve set a goal of 10% of Bentonville-based associates biking, scootering or taking some form of “active transportation” to work by the time the new Home Office opens. To reach it, we’ve enlisted a team of experts and enthusiasts. Hear from them on the latest episode of our Breaking Ground series. https://bit.ly/3y4ng6Y "
6981402789541294080,2022-09-30 00:02:13,walmart,458,17,
6981319198476042240,2022-09-29 18:30:03,walmart,107,5,
6981258373052715008,2022-09-29 14:28:21,walmart,345,3,"Walmart is ready to deliver a magical holiday for our customers. ✨ We’re busy ensuring our supply chain remains stable and strong, from investments in next generation fulfillment centers to fast, reliable delivery through the Spark Driver platform. Read more: https://bit.ly/3M7rGQp"
6980935169503358976,2022-09-28 17:04:03,walmart,121,5,"We’re making it easier than ever before to give back to causes you care about.  Introducing a new way of giving, Spark Good. Designed to make giving and getting easier than ever through a full suite of resources in one location on Walmart.com, Spark Good provides easy access to programs and tools for nonprofits and empowers customers and associates to rally support for the causes that matter most to them. Learn more: https://bit.ly/3xZqqIY"
6980617453785509888,2022-09-27 20:01:34,walmart,324,8,"As we prepare for the impact of Hurricane Ian, we’re closing some locations in the Gulf Coast for the safety of our associates, customers and members. A map of closures is available here and will be updated in real time: https://bit.ly/3CeAtwg "
6980540267284111360,2022-09-27 14:54:51,walmart,287,8,"We’ve heard from our associates that improved access to fertility, surrogacy and adoption support is important to them. And today, we’re proud to announce a new partnership with Kindbody to provide family-building benefits for our associates, including a new state-of-the-art clinic and IVF lab in Northwest Arkansas. Read more: https://bit.ly/3xXl8xM  "
6980245153248673792,2022-09-26 19:22:11,walmart,289,8,
6980168243692937216,2022-09-26 14:16:34,walmart,1817,44,"Welcome to Walmart Land! 👋 You’re invited to Walmart Land and Walmart’s Universe of Play, two new immersive experiences in the metaverse mega-platform, Roblox. Grab your headsets and hop in: https://bit.ly/3SxApNr"
6979876157827538944,2022-09-25 18:55:55,walmart,237,4,"Technology, but make it fashion."
6979527340460580864,2022-09-24 19:49:51,walmart,64,5,
6979170028549980160,2022-09-23 20:10:01,walmart,204,8,
6979091965833322496,2022-09-23 14:59:49,walmart,257,3,
6978832876054192128,2022-09-22 21:50:18,walmart,166,4,"When it comes to climate, the future is still at stake. We’re working to make our company more sustainable every day—reducing emissions and moving toward greater recyclability in every piece of packaging that leaves our stores and distribution centers. Read more about our progress here: https://bit.ly/3PgYbeL

#ClimateWeek #ClimateWeek2022"
6978776584384045056,2022-09-22 18:06:37,walmart,119,4,Make It Spark! is a week to highlight the Spark Driver platform and the services drivers on the Spark Driver App provide. ✨ Hear what drivers have to say about driving on the platform: https://bit.ly/3r1GciA
6978700441253470208,2022-09-22 13:04:03,walmart,116,2,"Early shopping means you can enjoy the holidays without the holidaze. 🎅 We're here to make your season brighter with deeper savings, a broader gift assortment, more returns options, ways to give back to the causes you care about and an enhanced omnichannel shopping experience. Happy shopping! https://bit.ly/3DLcCpq"
6978487979149303808,2022-09-21 22:59:48,walmart,173,2,
6978360193273253892,2022-09-21 14:32:01,walmart,321,8,"For us, the holidays are already here. To celebrate, we’re welcoming 40,000 new associates in a variety of roles. From drivers to store associates, the road to a new career starts at Walmart this holiday season. Visit careers.walmart.com to apply to work with us, and learn more here: https://bit.ly/3xFRkFJ"
6978093682465939456,2022-09-20 20:53:00,walmart,1014,15,"As our teams on the ground focus on supporting our associates and communities in Puerto Rico after Hurricane Fiona, Walmart, Sam's Club and the Walmart Foundation are committing $750,000 to support organizations providing food, supplies and relief.

Mientras nuestros equipos en el lugar se concentran en apoyar a nuestros asociados y las comunidades en Puerto Rico después del paso del Huracán Fiona; Walmart, Sam’s Club y la Fundación Walmart están entregando $750,000 USD para ayudar a organizaciones a proveer comida, suministros y alivio."
6978061727292678144,2022-09-20 18:46:01,walmart,60,1,It’s #NationalVoterRegistrationDay! Are you ready to cast your ballot? 🗳️ Check out our voter resource page for everything you need to make your voice heard at the polls: https://bit.ly/3BTZXyN
6977988252611878912,2022-09-20 13:54:04,walmart,294,6,"Let’s connect! 🤝 Walmart Connect is teaming up with TikTok, Snapchat, Firework, Roku and TalkshopLive to more deeply connect advertisers with customers throughout key moments in the shopper journey in order to provide the best solutions for advertisers. Learn more about Walmart Connect’s new Innovation Partners: https://bit.ly/3xCX8ji "
6977615032893288448,2022-09-19 13:11:01,walmart,120,2,
6976907876720144384,2022-09-17 14:21:02,walmart,342,13,"On the road again—to Alaska! ❄️ Michelle and Clayton Salikie, Walmart drivers—and spouses!—recently made the trek to deliver to Alaska again after half a decade. Read more about the return: https://bit.ly/3DpimVm

#DriverAppreciationWeek"
6976621449339969536,2022-09-16 19:22:52,walmart,268,4,"All good under the hood! 👍 What goes into helping to make sure a truck runs efficiently and safely? We caught up with Michael Munson to see what a fleet maintenance tech does on the daily.

#DriverAppreciationWeek #DayInTheLife"
6976309200004030464,2022-09-15 22:42:06,walmart,103,4,
6976244445482536960,2022-09-15 18:24:48,walmart,228,5,
6976165801452060673,2022-09-15 13:12:17,walmart,263,3,"Your runway awaits—from the comfort of your home.  

We’re introducing Be Your Own Model, the next phase of Walmart’s virtual try-on technology. The game-changing experience will allow customers to use their own photo to better visualize themselves in clothing when shopping online. Strike a pose and read more: https://bit.ly/3DrCIgR "
6975933708700639232,2022-09-14 21:50:02,walmart,108,2,"This week is not only about drivers — we're also celebrating our maintenance technicians who keep our rigs rolling! 

As a Preventative Maintenance Technician, Ralph's job is all about safety. He and the team at Distribution Center 6830 in Raymond, NH, perform safety checks on more than 100 trailers each month! 

When he gets home, he coaches youth flag football, encouraging his team to be the best they can be. Read more about Ralph's important work in the shop and on the field: https://bit.ly/3BDSior

#DriverAppreciationWeek"
6975817702858788864,2022-09-14 14:09:04,walmart,164,3,"Seller perks are coming to town! 🎅 Just in time for the holidays, Walmart Connect is introducing new offerings and resources to help Walmart Marketplace sellers get in front of more customers—and help more customers check off their gift list. Jingle this way to learn more: https://bit.ly/3DjX0Jf"
6975572583421202432,2022-09-13 21:55:03,walmart,770,32,"Ken's always going the extra mile. He has 35 years of driving experience and 3.5 million safe driving miles under his belt. When he's not on the road, he has some pretty fire hobbies—including cooking for a cause and sparking joy with pyrotechnics! Read more about Ken's pastimes: https://bit.ly/3S307Ju

#DriverAppreciationWeek"
6975454691346305024,2022-09-13 14:06:36,walmart,210,5,"It's a site to behold — and be shopped. 🛍️ Our enhanced site experience and new features make shopping on Walmart.com and our app easier, more engaging and more personalized. Check it out, and checkout: https://bit.ly/3L5m2xz"
6975108290917666817,2022-09-12 15:10:07,walmart,1106,27,Rolling into #DriverAppreciationWeek like champions. 🏆 Find out what it takes to compete in the truck driving championships and meet the Walmart drivers who came out on top! https://bit.ly/3eKPVHr
6974501019669995520,2022-09-10 22:57:03,walmart,305,5,"At Walmart, we see heroes in the everyday stuff—like acts of kindness, selflessness and positivity. Help us celebrate some of our Every Day Heroes and see what motivates them! 👏 https://bit.ly/3x7ybvV"
6974108470165852160,2022-09-09 20:57:11,walmart,269,7,
6973677830052229120,2022-09-08 16:25:59,walmart,493,7,It's official: Walmart+ members now receive a Paramount+ subscription with their membership. 🎥🍿 See how you can sign up to tune in: https://bit.ly/3x9UXDv
6973273684518068224,2022-09-07 13:40:03,walmart,854,14,"As part of our journey to transform healthcare, we’re teaming up with UnitedHealth Group to connect more people to comprehensive, affordable, value-based care, starting with 15 Walmart Health locations. Read more: https://bit.ly/3KUhNVB"
6973065991257788416,2022-09-06 23:54:45,walmart,796,9,Thank you to our associates and partners who have stepped up to help us support the community of Jackson. 💙
6973018258912288768,2022-09-06 20:45:05,walmart,121,1,"Pencils down, skates on! We’re partnering with local roller rinks to host Walmart Free Skate, a roller disco-inspired experience to celebrate students. The series will end in Atlanta, where Willow Smith will give a special performance. Skate to it! 👉 https://bit.ly/3KThR7H"
6972922120188157952,2022-09-06 14:23:04,walmart,327,4,"We're teaming up with The Dodo to bring paw-some products to our customers and their pups! 🐾 The digital publisher's first-ever retail collab will include apparel, toys and gear, a monthly Pet Lover's box and insurance to give pet parents peace of mind. Read more: https://bit.ly/3BioihA"
6971513593200619520,2022-09-02 17:06:05,walmart,1903,90,"Store 2152 in Albany, New York, is on another level—literally. As the largest Walmart store in the country, it boasts two floors and a cart escalator! 

Meet Store Manager Dwayne and the crew who keep this multilevel marvel running on the daily: https://bit.ly/3QcoJ0Y"
6971192980183425024,2022-09-01 19:52:04,walmart,306,4,"It’s Hunger Action Month, but we’re committed to fighting hunger year-round. With suppliers, associates, customers and members, we raised nearly $20 million for Feeding America and local member food banks this year through our Fight Hunger. Spark Change. campaign. https://bit.ly/3ea3n7f"
6970814992384237568,2022-08-31 18:50:05,walmart,143,3,"We’re highlighting the unique suppliers that bring diversity to our business. Catrina Hill, of Catrina’s Kitchen Southern Spices, brought her beloved blend of special seasoning to our shelves via Walmart Open Call. Read more: https://bit.ly/3CIR7EW

#BlackBusinessMonth"
6970727912614354944,2022-08-31 13:04:04,walmart,362,4,We’re partnering with rancher-owned Sustainable Beef LLC to bring high-quality beef at affordable prices to our customers while helping ranchers grow their business. Read more: https://bit.ly/3e2MxXT  
6970455201094803457,2022-08-30 19:00:24,walmart,308,11,"We're recruiting Canada-based sellers to join our online U.S. Marketplace, where we serve more than 120 million shoppers every month. 

Interested? Learn more, and make plans to join us at the Walmart Global Seller Webinar on Sept. 8! https://bit.ly/3AAFRIf"
6970368166346571776,2022-08-30 13:14:34,walmart,197,3,"The most fun list of the year just dropped. 🎁 Walmart’s 2022 Top Toy List is here with the holiday season’s hottest toys! With brands like LEGO, Cocomelon and Barbie—and half the items available for under $50—there's something for everyone. Check out the full list: https://bit.ly/3R3eFc1"
6970171191797956608,2022-08-30 00:11:51,walmart,221,6,"We’re taking time to highlight some of the diverse suppliers bringing their own unique perspectives—and in this case—flavors, to our customers. 

Meet Chris and Regina Moore, the chef duo behind Chef Flavas spinach artichoke dip, which will hit Walmart shelves this year after a successful pitch at Open Call. Read more: https://bit.ly/3R5mMov 

#BlackBusinessMonth"
6969784499773595648,2022-08-28 22:35:17,walmart,987,42,"We're excited for the second half of the year, anchored by the busy holiday season. Thank you to our associates for stepping up to make it happen! 👏"
6969439914341933057,2022-08-27 23:46:01,walmart,195,3,
6969056198948003840,2022-08-26 22:21:16,walmart,706,15,"This past quarter, Walmart U.S. comps grew by 6.5% as more customers choose us for their essentials and beyond. Check out our full earnings report here: https://bit.ly/3An5pJQ"
6968995829898514432,2022-08-26 18:21:23,walmart,211,4,
6968737924230103040,2022-08-26 01:16:34,walmart,175,3,
6968639097749786624,2022-08-25 18:43:51,walmart,678,13,"For Q2, we saw strong numbers internationally and are focusing on growing key revenue streams like eCommerce, Marketplace and advertising. See our full earnings report here: https://bit.ly/3An5pJQ"
6968574711328911360,2022-08-25 14:28:01,walmart,186,12,Technology is opening doors—garage doors! We're teaming up with myQ to deliver your Walmart+ InHome items directly to your garage. Check out more: https://bit.ly/3PXK3Yk
6968318193375330304,2022-08-24 21:28:42,walmart,134,0,"GoLocal, it's your birthday 🥳"
6968259850191478784,2022-08-24 17:36:52,walmart,853,12,"We continue to see excellent growth at Sam's Club, and we look forward to making the holidays even more special for our members. 

Check out the full earnings report here: https://bit.ly/3An5pJQ"
6968206971988561920,2022-08-24 14:06:45,walmart,744,15,"You deserve a reward! 🏆 Walmart+ members can now earn additional savings toward future Walmart purchases using Walmart Rewards. The new perk is easy to use and works any way members want to shop, whether in-store or online. Learn more: https://bit.ly/3pEbhbJ"
6967875660077826048,2022-08-23 16:10:14,walmart,592,15,"Let’s give a round of applause to our Walmart Start accelerator program finalists! 👏 We’re thrilled to welcome The Hair Lab, Pardon My Fro, Dossier, Undefined Beauty and Paintlab to the Walmart beauty family. Learn more about the program: https://bit.ly/3gRTPfp"
6967591569059192832,2022-08-22 21:21:21,walmart,639,19,"Last week, we shared our quarterly earnings update. We're proud of the way we've continued to deliver value for our customers during an inflationary time.

Hear more from Doug, and check out our full report here: https://bit.ly/3An5pJQ"
6967512499986268162,2022-08-22 16:07:10,walmart,426,15,"We’re starting a new chapter! 📚 Walmart is launching the Walmart Book Club, a program that highlights a new book title each season, plus one Pick of the Year. There’s no membership required – just look for the Walmart Book Club sticker on the cover. Curl up and read more: https://bit.ly/3pDxeY8"
6966477688433774592,2022-08-19 19:35:11,walmart,86,5,
6966399960137293824,2022-08-19 14:26:19,walmart,51,2,
6966049906490834944,2022-08-18 15:15:20,walmart,190,4,
6965776531667243008,2022-08-17 21:09:03,walmart,350,7,"The Spark Driver platform is helping us bring customers the groceries and essentials they need—serving 84% of U.S. households across 7,000 pickup points—while offering flexibility, opportunity and reliability for drivers. Read more: https://bit.ly/3CeVZ4y"
6965746108153159680,2022-08-17 19:08:09,walmart,184,3,
6965708252844109824,2022-08-17 16:37:44,walmart,210,4,
6965674926770982912,2022-08-17 14:25:18,walmart,281,6,"ICYMI: Yesterday we shared our Q2 FY23 earnings information. To learn more, visit: https://bit.ly/3An5pJQ "
6965436012772683776,2022-08-16 22:35:56,walmart,168,4,
6988893472522997760,2022-10-20 16:07:31,reuters-events-energy-transition,88,3,"What Does the Future hold for North American Natural Gas? That's what we'll hear from Colin Parfitt on at #EnergyTransition North America 2022. 

Colin will share Chevron's vision for more energy, lower carbon, during and an executive panel with key industry leaders from Williams, EQT, and Republic Services.

Register with CHEVRON200 to save $200 on your pass to the most important energy transition meeting of the year! 

https://lnkd.in/gc7xkfC3
"
6988892716965261312,2022-10-20 16:04:31,chevron,28,2,"Did you know peanuts helped revolutionize the transportation sector? A century later, we’re working with Texas A&M AgriLife to further explore the peanut’s potential🥜

This may sound nutty so learn more here: https://lnkd.in/gqmpAYRt "
6988892452686372864,2022-10-20 16:03:28,chevron,33,2,"For some Chevron employees, glancing at their phones could soon reveal more than the time of day; it could also alert them when they are at risk of experiencing heat stress. Click here to read on: https://lnkd.in/d5C4U2F4 "
6988892220858806272,2022-10-20 16:02:32,chevron,139,4,"We understand our role in achieving a more prosperous energy future.

Read three ways we’re delivering affordable, reliable and ever-cleaner energy here: https://lnkd.in/gmxN7wag "
6988610300652523520,2022-10-19 21:22:17,chevron,213,15,Let’s clear the air on carbon offsets. These are tradable credits generated by activities such as planting trees and carbon capture allowing companies to offset carbon emissions. Read more here: https://lnkd.in/gD2_faAB 
6986369971761143809,2022-10-13 17:00:01,chevron,325,54,Chevron is helping further the learning of STEAM principles in post-pandemic Kazakhstan through sponsoring the Pro.NRG festival in the capital city of Astana. https://lnkd.in/gu359UGN 
6986094004576669696,2022-10-12 22:43:26,chevron,334,25,"Work like a dog has new meaning at Chevron, where we’ve used Spot the robotic canine to create efficiencies as part of our connected worker program. Learn more here: https://lnkd.in/gccRGEzt "
6985645193978945536,2022-10-11 17:00:01,chevron,154,1,"Established in 2018, the Chevron Soccer Academy provides local youth in California access to a skills program while learning how STEM principles are applied in everyday life. https://lnkd.in/gNvvg5yi"
6985313003277611008,2022-10-10 19:00:00,chevron,200,9,"In continuation of celebrating hydrogen, learn more about what we are doing to boost hydrogen here: https://lnkd.in/gezc9CMM"
6984957497941917696,2022-10-09 19:27:21,chevron,998,36,"Yesterday was #HydrogenDay! At Chevron, we’re celebrating our hydrogen leaders and business around the world that are helping us reach for a lower carbon future."
6984182830226415616,2022-10-07 16:09:06,chevron,982,24,"Good morning. We’re trying to win back investors to our industry. Find out what Pierre Breber, Chevron CFO, sees as a big opportunity in energy."
6983829830190465024,2022-10-06 16:46:24,reuters-events-energy-transition,278,5,"💡 How can business leaders build bridges 🌉 to reduce emissions, whilst delivering profit and shareholder value 💰? That's what we'll be exploring with Jeff Gustavson at #EnergyTransition North America next month.

⭐ We look forward to Jeff joining our keynote panel - Building Bridges: Collaboration, Partnerships, and Collective Action to share Chevron's vision for a lower carbon, affordable and secure energy system for the future!

Check out the full agenda online now: https://lnkd.in/eQhM5fjF

#ReutersEvents #EnergyTransitionNorthAmerica #ETNA2022"
6983775337482502145,2022-10-06 13:09:52,chevron,300,41,"This investment underscores our commitment to produce 40,000 MMBTU/D of RNG by 2030 and grow the lower carbon businesses that we believe will be a bigger part of the future https://chevron.co/0jjnic"
6983475143054405632,2022-10-05 17:17:00,chevron,418,15,Ron Howard's film ’13 Lives’ follows the rescue of a soccer team trapped in a Thai cave. Our employees were among those who helped get the team free. Read how below: https://lnkd.in/dqVZr3KU
6983468586958794752,2022-10-05 16:50:57,chevron,508,12,"For some Chevron employees, glancing at their phones could soon reveal more than the time of day; it could also alert them when they are at risk of experiencing heat stress. Click here to read on: https://lnkd.in/d5C4U2F4 "
6983458412571365377,2022-10-05 16:10:31,,936,40,"As I’ve engaged with investors, policymakers, and elected officials over the past few months, I’ve talked about the need for a more pragmatic conversation about the future of energy – one that rejects polarization, and instead, seeks to build on common ground.

The new energy conversation must recognize the importance of balancing energy security, economic prosperity, and environmental protection.

I discussed this and more with Alix Steel and David Westin of Bloomberg LP.  Watch the interview here: https://lnkd.in/gpM2CjAE

#chevron #energypolicy #futureofenergy"
6983457797787066368,2022-10-05 16:08:05,chevron,62,9,We are delighted to recognize the 2022 Chevron Executive Leadership Council Scholars. Congratulations to these outstanding students – we are so proud of their accomplishments. Chevron is honored to help expand the pipeline of diverse talent through our partnership with The Executive Leadership Council (ELC). #ELCScholars
6983166869021085696,2022-10-04 20:52:02,chevron,1133,52,"Today, we announced a commitment of $500,000 to support relief efforts after Hurricane Ian left devastation across the state of Florida. Our hearts are with all who have been impacted by this event https://lnkd.in/g9TBvBxS "
6983161820651958272,2022-10-04 20:31:58,chevron,360,12,"Through our investments in health, education, and economic development, we strive to advance progress and strengthen communities in Bangladesh.
https://lnkd.in/geC2Ve4g
#ChevronInBangladesh #HumanEnergy "
6981728689029877760,2022-09-30 21:37:13,opportunity-junction,238,26,"A HUGE thank-you to our volunteers from Chevron for hosting mock interviews with our participants! Helping our motivated job seekers by preparing them for real-life interviews has a significant impact on their future success. We appreciate your thoughtful and thorough questions, volunteers!  
 
 #opportunityjunction #jobtraining #CNA #certifiednursingassistant  #AdministrativeCareers #eastcontracostacounty #freeonlineclasses #microsoftcertified #antiochca #pittsburgca #baypointca #concordca #freeclasses #education #careergrowth #JobPlacement #Jobs #Work #CAJobs #BayAreaJobs #WorkforceDevelopment #jobseekers #future #success "
6981728320644165632,2022-09-30 21:35:45,,1521,43,"A part of my job that I enjoy the most is sharing the great work our people do every day.  
 
Last week, I joined Poppy Harlow on CNN to discuss the state of energy and highlight the opportunities and challenges facing our company and industry.  
 
She asked a lot of good questions on topics including climate change, production, and price. I also reinforced the need for a new conversation around energy – one that balances economic prosperity, energy security and environmental protection. 
 
Watch the full interview here. https://lnkd.in/gVt2A65M. 
#chevron #energypolicy #futureofenergy"
6980306861581369344,2022-09-26 23:27:23,chevron,499,96,
6980199133143851008,2022-09-26 16:19:19,futureoilgas,196,4,"Take a look at just some of the fantastic panellists who are booked to speak at Future Digital Twin USA on 4-5 October ⭐
Digital Twin is such an important subject for the #oilandgas industry right now as we strive for efficiency gains, sustainability and inter-organisational (and even inter-disciplinarian) collaboration!
Find out more and book your tickets here ➡️ https://lnkd.in/ezUu6y7D

#FDTUSA #futuredigitaltwin #digitaltwins #digitaltwin"
