,urn,ts,company,numLikes,numComments,text,Environment,Positive,Climate Impact,Biodiversity and Environmental Footprint,Negative,Waste and Emissions Management ,Social,Human Capital ,Environmental Opportunities ,Waste and Emission Management,Diversity and Inclusion,Workplace and Product Safety,Environmental Crime,Governance,Legal Compliance,Business Ethics and Transparency,Product Stewardship
428,6.96028e+18,02/08/2022 17:12,albertsons,420,26,"Catherine Brown, Store Director at Safeway in Falcon, CO, has been in retail for 27 years and has spent more than a decade on the Albertsons Companies team. A customer recently reached out to share why Catherine is an exemplary employee and wonderful person. Thank you, Catherine, for your compassion, kindness and phenomenal customer service!

“I want to express my profound gratitude to Cathryn, Store Director at the Falcon, CO Safeway store. My wife and I suffered the complete destruction of our small ranch in New Mexico due to wildfires. We escaped with our car & pick-up truck loaded with photos and precious things. We came to our kid's home here in Falcon and went shopping at the local Safeway. I asked Cathryn for directions to the COVID test kit location in the store. She took me right to the shelf. We engaged in some conversation and I told her what happened and why we were here. 

She immediately took my basket of groceries, including the test kits up the self checkout and checked me out using her personal credit card. I was never so surprised in all my life. I was not expecting such kindness for a complete stranger. You have some exceptional folks working in your stores. Your corporate culture in my eyes helped foster this kind of attitude and service to the community. I hope that she will receive some kind of recognition for her absolute compassion and kindness.”",15.0,,,15.0,15.0,,,,,,,,,,,,
486,6.92328e+18,22/04/2022 14:30,albertsons,160,0,"Great food isn't possible without a healthy planet. That’s why we’ve committed ourselves to reducing our carbon emissions by 47% by 2030 and achieving net zero emissions in our own operations by 2040. 
 
It’s just one of the many ways we're dedicated to improving the world around us through Recipe for Change.
 
Learn more at https://lnkd.in/g56RtPC8
.",100.0,100.0,100.0,,,,,,,,,,,,,,
488,6.92264e+18,20/04/2022 20:30,albertsons,228,6,"""Today, we’re proud to unveil a set of long-term ESG goals and strategies focused on maximizing our positive impact in four key areas: planet, people, product, and community."" - Vivek Sankaran, Albertsons Companies CEO",5.0,5.0,,,,,,,,,,,,,,,
550,6.93496e+18,24/05/2022 20:10,jcpenney,183,5,"We’re honored to once again be recognized by Unifi Manufacturing, Inc. (makers of REPREVE® ) as a recipient of their fifth annual Champions of Sustainability awards. Since our partnership with REPREVE began, JCPenney has #recycled a total of 44.6 million #plastic bottles to be made into fiber for new apparel, footwear, home goods and other consumer products. Protecting our planet and preserving our resources are a shared responsibility, and we are proud of our continued partnership which plays a major role in reducing our environmental impact.

#recycling #sustainablefashion #sustainability #esg",15.0,15.0,,10.0,,,,,,,,,,,,,
562,6.92327e+18,22/04/2022 14:19,jcpenney,299,6,"JCPenney is on a mission to design, develop, source and offer customers more sustainable products that our customers love. We have developed a five-year roadmap to use preferred sustainable fibers in 100% of our private label apparel and home products by 2026. Protecting our planet and preserving our resources are a shared responsibility and we are committed to reducing the Company’s environmental impact. Happy Earth Day! https://lnkd.in/gbFzJxh4 #sustainability #EarthDay",10.0,10.0,,10.0,,,,,,,,,,,,,
571,6.91207e+18,22/03/2022 15:59,jcpenney,167,4,"Are you ready for our next Women's Founder Series livestream event? Join us as as Psyche Terry, MBA, founder of Urban Hydration, discusses launching her plant-based skin, hair and body care line while sharing her journey as a founder. Watch here: jcpenney.com/Live",10.0,10.0,,10.0,,,,,,,,,,,,,
606,6.98781e+18,17/10/2022 16:30,metlife,77,0,"October is #EnergyAwarenessMonth! Our commitment to the environment reflects our purpose as a company, which is why we’re committed to reducing energy consumption across our offices and collaborating with our partners to curb emissions. As a proud partner of Energy Star, check out the ways we’re driving climate solutions: http://spr.ly/6045Mc8Tb #Sustainability ",5.0,5.0,,,,,,,,,,,,,,,
645,6.97915e+18,23/09/2022 19:00,metlife,481,7,"Since 2020, we’ve planted more than 200,000 trees around the globe, from Mexico to Hungary to India, making progress toward our goal to plant 5 million trees by 2030. See how else we’re protecting our communities: http://spr.ly/6048MnRNM #Sustainability ",50.0,50.0,,50.0,,,,,,,,,,,,,
698,6.98886e+18,20/10/2022 14:01,pepsico,248,4,"PepsiCo is working hand in hand with farmers around the world to spread regenerative practices across 7 million acres by 2030 — an area roughly the size of our entire agricultural footprint. Through our Positive Agriculture Outcomes Fund we’re helping farmers adopt techniques that reduce greenhouse gas emissions, restore local ecosystems and strengthen the well-being of the communities where we work. Our new series, Growing Our Future showcases how these solutions are improving farmers’ livelihoods today and protecting the planet for the years to come. Watch here: https://pepsi.co/3eD5qS9",50.0,10.0,25.0,20.0,,,10.0,10.0,,,,,,,,,
711,6.98378e+18,06/10/2022 13:31,pepsico,509,11,"Meagan Smith, PepsiCo’s Global Marketing Director for Brand Sustainability, has always been motivated to protect the environment. That’s what first brought Meagan to PepsiCo 18 years ago, as well as what inspired her to start Green Teams — a grassroots network that empowers associates around the world to become more sustainable at work, at home and in their communities. “One simple act can make a big impact,” Meagan says. Read her story: https://pepsi.co/3UWR2V7 ",10.0,10.0,,10.0,,,,,,,,,,,,,
749,6.96097e+18,04/08/2022 14:59,pepsico,542,19,"As we work to become net zero emissions by 2040, we’re investing in clean energy. We’re proud to have been ranked number 9 on the national EPA’s Green Power Partnership list!",25.0,25.0,20.0,,,,,,,,,,,,,,
757,6.95555e+18,20/07/2022 15:42,pepsico,392,4,"In Europe, we’re committed to creating a more sustainable and resilient food system. Our Europe #PositiveAgriculture journey has made significant progress over the last year as we continue supporting our farming communities and spreading regenerative farming practices. 
 
One of the ways we are doing this is through our iCrop technology and Cool Farm Tool. We gather insights from across 48,000 acres in Europe and share data with our farmers to help them work more efficiently and reduce their emissions. To find out more, take a look at our ESG summary here: https://lnkd.in/gMwpRRey",15.0,10.0,,,,15.0,10.0,10.0,,,,,,,,,
759,6.95371e+18,15/07/2022 13:45,pepsico,655,11,"Since we launched our PepsiCo Positive transformation last year, we’ve made progress—switching to renewables, promoting regenerative agriculture, and so much more: https://pepsi.co/3NyxCk8",10.0,10.0,,,,,,,10.0,,,,,,,,
788,6.93921e+18,05/06/2022 14:00,pepsico,792,13,"We’re working to:
🚰 Become net water positive by 2030
🌎 Achieve net zero emissions by 2040
🌽Spread regenerative agricultural techniques across 7 million acres by 2030",30.0,30.0,30.0,,,,,,,,,,,,,,
803,6.98702e+18,15/10/2022 12:00,wellsfargo,57,0,"As our clients develop sustainability solutions, we're here to support their efforts to transition their businesses to thrive in a low-carbon future. http://on.wf.com/6044MiZyE",15.0,,15.0,,15.0,,,,,,,,,,,,
1078,6.97617e+18,15/09/2022 13:15,oracle,82,0,How do you ensure your organization is on track to reach net zero? Discover the latest sustainability trends with help from experts at @Accenture and @VMware. https://lnkd.in/e_WYESS5 ,25.0,25.0,25.0,,,,,,,,,,,,,,
1101,6.98823e+18,18/10/2022 20:26,xerox,33,3,Our environmentally responsible products empower people to meet #sustainability goals. Our AltaLink C8100/B8100 series printers have reduced energy consumption by up to 15%. Learn more: https://xerox.bz/3CM4v9M #WorldEcoLabelMonth,10.0,10.0,,10.0,,,,,,,,,,,,,
1135,6.98129e+18,29/09/2022 16:38,xerox,85,0,"With goals to reduce environmental impacts across our value chain, Xerox invests in innovative solutions that can conserve natural resources and lower the energy intensity of our operations. Learn more: https://xerox.bz/3Cl4ydI",10.0,10.0,,10.0,,,,,,,,,,,,,
1197,6.9867e+18,14/10/2022 15:02,exelon,28,1,"“We have the privilege to serve some of the most diverse communities in the county, and unfortunately, we also know those communities are the most impacted by climate change.”
Exelon SEVP & COO Calvin Butler joined the Energy Central Power Perspectives podcast to share how energy equity is core to everything we do at Exelon. 
",30.0,,30.0,,30.0,,,,,,,,,,,,
1202,6.98347e+18,05/10/2022 16:45,exelon,27,0,"Energy efficiency is a bright idea!  💡 

Through energy efficiency programs, customers of Exelon’s energy companies saved 22.8 million MWH in 2021, saving them money and avoiding 8.8 million metric tons of GHG emissions. #EnergyEfficiencyDay #EEDay
https://lnkd.in/eMUCQRXX 
",5.0,5.0,5.0,,,,,,,,,,,,,,
1208,6.98061e+18,27/09/2022 19:31,exelon,39,0,"We’re on the #PathToClean with a goal to reduce Exelon’s operations-driven emissions 50% by 2030 and achieve net-zero operations by 2050. Learn about our progress and what’s next to influence emissions beyond our operations: http://spr.ly/6047MkCKD
#NCEW #NationalCleanEnergyWeek",60.0,60.0,30.0,,,30.0,,,,,,,,,,,
1213,6.97906e+18,23/09/2022 12:55,exelon,56,2,"Why are we charged up about EVs and electrification? They can: 
🚗 Save customers money over the long run
🌎 Reduce negative environmental impacts 
⚡ Enable better grid management 
#NDEW22 #NationalDriveElectricWeek 

More on our EV programs: 
https://lnkd.in/eAUcDHxM  ",10.0,10.0,,10.0,,,,,,,,,,,,,
1225,6.97337e+18,07/09/2022 19:53,exelon,61,0,"The latest innovation in our communities: Pepco is partnering with ecoSPEARS, an Exelon Foundation #2c2i grant recipient, on a pilot to clean up and remove industrial chemical contamination from the Anacostia River. 

Are you a startup focused on climate change mitigation in Exelon’s service areas? Don’t miss the application for this year’s 2c2i investment, due Sept. 23: http://spr.ly/6047M3KdX ",10.0,10.0,,,,10.0,,,,,,,,,,,
1237,6.96566e+18,17/08/2022 13:22,exelon,122,2,"Exelon continues to make substantial investments in the clean energy transition with a focus on innovative solutions that drive the safe, reliable, resilient, affordable energy delivery our customers expect and our communities deserve.
We commend Congress and President Biden for passing the Inflation Reduction Act, providing new resources for our industry, customers, and other stakeholders to leverage in the pursuit of a cleaner grid. Read our full statement: http://spr.ly/6040MB6rE ",10.0,10.0,,,,,,,10.0,,,,,,,,
1240,6.96349e+18,11/08/2022 13:45,exelon,50,0,"As extreme weather incidents become more common due to #climatechange, Exelon is investing in the grid to modernize our energy infrastructures, improve reliability and resilience, and further enable electrification to reduce greenhouse gas emissions. 
More in our Corporate Sustainability Report: http://spr.ly/6040z746r",35.0,25.0,25.0,,10.0,,,,,,,,,,,,
1243,6.96094e+18,04/08/2022 12:46,exelon,133,0,"Their futures are looking bright! 
At the Exelon Foundation STEM Academy at Illinois Institute of Technology participants heard advice in leadership from Exelon President & CEO Chris Crane and Cheryl Maletich, SVP of Transmission and Substation at ComEd, and got hands-on lessons in #climatechange.",50.0,,,,50.0,,,,,,,,,,,,
1266,6.94792e+18,29/06/2022 14:53,exelon,52,1,"Innovation powers us to better serve our customers, communities and the earth. 
Watch how Baltimore Gas & Electric is piloting a new natural gas tool that will increase safety on the job and decrease greenhouse gas emissions as part of our #PathToClean.",10.0,10.0,10.0,,,,,,,,,,,,,,
1289,6.93452e+18,23/05/2022 14:50,exelon,128,1,"Attending The Climate Leadership Conference this week? Here’s where you can find out more about Exelon’s climate change initiatives:
☀️ On Wednesday, Calvin Butler, Jr. joins fellow industry leaders to discuss the transition to net-zero 
☀️ At our booth Wednesday and Thursday, meet two startups from our 2c2i program, focused on mitigating climate change: Dynamhex & ecoSPEARS 
More here: http://spr.ly/6046zPaSq #TheCLC",10.0,10.0,10.0,,,,,,,,,,,,,,
1327,6.94827e+18,30/06/2022 13:29,gap,58,0,"With work starting on our newest depot – GAP Dundee – we just wanted to take the opportunity to say a huge congratulations to the GAP Doncaster team. 

GAP Doncaster was the last depot to open its doors only 4 months ago and they are doing an absolutely fantastic job so far. The team are exceeding all expectations and welcoming more and more customers on board - an incredible job. 

Well done Andrew, Holly and Jonathan 👏🏼👏🏼👏🏼",10.0,10.0,,,,,,,,,,,,,,,
1345,6.92467e+18,26/04/2022 10:51,gap,47,0,"We’re delighted to have 7 brand new HGV trailers join our delivery fleet! The new trailers are designed to produce less carbon emissions than their predecessors, helping us to reduce our carbon footprint whilst providing our customers with a more efficient and effective service!
Read more about them here - https://lnkd.in/e4jGE55j",45.0,15.0,30.0,,30.0,,,,,,,,,,,,
1366,6.89396e+18,31/01/2022 16:37,gap,35,2,"Take a look at this incredible project by GAP Croydon customer, Morgan Owens Developments! Based in Surrey, Morgan Owens Developments specialise in Garden Rooms and used GAP to supply Origin Windows and Sliding Doors, plus a Korniche Roof Lantern for the build. This is the first of many, so keep your eye out for some more fantastic pictures coming your way!",10.0,10.0,,,,,,,,,,,,,,,
1403,6.94217e+18,13/06/2022 17:47,antheminc,158,1,"As the opioid crisis has worsened, access to effective, evidence-based treatment for opioid use disorder (OUD) has become even more critical. In keeping with our efforts to reimagine the health system and provide personalized care, we’re pursuing more holistic, data-driven ways to help members with OUD. Learn more about the Changing Pathways program, which leverages medications for opioid use disorder (MOUD) and peer recovery support to address the behavioral and social drivers of health. #AnthemImpact 

https://lnkd.in/gAecJWkf",5.0,5.0,,,,5.0,5.0,5.0,,,,,,,,,
1429,6.9146e+18,29/03/2022 16:10,antheminc,23,0,"Findings from our #DrivingOurHealth study show people of color are disproportionately affected by air pollution or poor air quality. At Anthem, we are advancing #healthequity by studying the negative impact that environmental conditions have on the health of our communities so we can help support evidence-based solutions. Learn more about all the factors that shape our whole health: 

https://lnkd.in/eW5-T9me",30.0,,,10.0,30.0,,,,,20.0,,,,,,,
1430,6.91317e+18,25/03/2022 17:02,antheminc,199,5,"We’ve recently announced our proposal to change our name from Anthem, Inc. to Elevance Health. What will this mean for our plan names? Read on for answers:

Q: Anthem, Inc. may soon become Elevance Health. Will Anthem Blue Cross/Anthem Blue Cross and Blue Shield plans still carry the Anthem name?

A: Yes. Anthem Blue Cross and Blue Shield is the local operating brand in many of our markets and has significant brand preference and consideration with our consumers, customers, and other partners. These plans will continue to improve health by addressing consumer needs at a personal level, removing barriers, and creating more meaningful connections across a lifetime of milestones and experiences.

For more on our proposed name change, visit http://ow.ly/9TL350IlVQa

#elevancehealth",10.0,10.0,,10.0,,,,,,,,,,,,,
1480,6.86646e+18,16/11/2021 19:55,antheminc,107,5,"When we minimize pollution, protect human rights and cultivate a diverse and inclusive workplace, this impacts overall health, and that's why being included among the #sustainability top-performing companies in the S&P Global #DJSI for the fourth year in a row means so much to us. http://ow.ly/O91R50GPbMN/",10.0,10.0,,,,10.0,10.0,,,,10.0,,,,,,
1502,6.98419e+18,07/10/2022 16:40,textron,135,4,"This week, our EHS teams from across the enterprise got together in Texas and were able to connect and share best practices. Textron and our EHS teams are committed to minimizing the environmental impact of our business operations while maintaining and enhancing the wellbeing of our employees.

#EHS #sustainability #safety #environment ",10.0,10.0,,10.0,,,,,,,,,,,,,
1520,6.97117e+18,01/09/2022 18:34,textron,118,1,"Textron eAviation and Pipistrel Aircraft continues to lead the charge in the future of a greener aviation. CNN Business's, Tom Page, spoke with Pipistrel chief technology officer, Tine Tomažič to learn more about the Velis Electro and the future of eAviation. https://cnn.it/3Rscv5x

#eAviation #aviation #greenenergy",5.0,5.0,,,,,,,,,,,,,,,
1545,6.95339e+18,14/07/2022 16:37,textron,65,2,"Across the enterprise, our Textron employees have been working hard to achieve the goals of creating safe workplaces, healthy employees, resilient facilities, and a sustainable footprint. These are all part of Textron’s Achieve 2025 initiative, a 5-year plan to increase overall health and well-being for our employees and the environment. Here are this past quarter's recipients of our Achiever Awards.

#Achieve2025 #sustainability #wellbeing #awards",5.0,35.0,,,,,35.0,5.0,,,,30.0,,,,,
1606,6.98314e+18,04/10/2022 19:16,unionpacific,560,3,Union Pacific is testing dozens of electric vehicles in our railyards to better understand how electric vehicles can support our unique footprint while achieving the railroad’s sustainability goals. ,5.0,5.0,,,,,,,,,,,,,,,
1636,6.9705e+18,30/08/2022 21:48,unionpacific,132,2,"Solvay and Union Pacific are on the same page when it comes to transporting goods while emitting less CO2. “We love it when our customers focus on becoming more environmentally friendly, because we can support each other in our efforts,” says Jacqueline Bendon, Union Pacific's VP-Industrial.",45.0,,15.0,15.0,45.0,,,,,,,,15.0,,,,
1667,6.95808e+18,27/07/2022 15:21,unionpacific,1017,20,"Union Pacific and Wabtec Corporation are partnering on a locomotive modernization project to bring state-of-the-art technology to UP's existing locomotive fleet, improving reliability and fuel efficiency as well as reducing emissions.",15.0,15.0,,,,15.0,,,,,,,,,,,
1680,6.95346e+18,14/07/2022 21:24,unionpacific,298,12,"Four Union Pacific locomotives are testing renewable fuel made from 100% vegetable and/or animal fats to see if the performance and reliability of these engines are comparable whether operated with biofuel or traditional, petroleum-based diesel fuel. This pilot project is being led by Mark Lutz and Grace Olsen as part of our commitment to reduce absolute Scope 1 and 2 greenhouse gas emissions (GHG).",170.0,170.0,170.0,,,,,,,,,,,,,,
1684,6.95234e+18,11/07/2022 19:32,unionpacific,58,1,Union Pacific's Jacqueline Bendon shares how we recently joined the Cyclyx consortium to partner with member companies and lend our expertise to develop supply chain solutions for increasing recycling rates and redesign the way the U.S. collects and reuses waste.,30.0,30.0,,,,30.0,,,,,,,,,,,
1756,6.93854e+18,03/06/2022 17:02,staples,155,3,"The Staples Out@Work business resource group—dedicated to creating an organizational network of LGBTQ+ members and allies­, in partnership with senior leadership—is proud to reaffirm our commitment to making Staples an inclusive, welcoming environment for all.
 
This work doesn’t happen for just 30 days in the month of June—it happens 365 days of the year. Visit https://bit.ly/3sZBN1o to learn more about our business resources groups and the work they’re doing to advance a lasting, inclusive culture at Staples.

Happy Pride!",5.0,5.0,,,,,,,,,,,,,,,
1794,6.98853e+18,19/10/2022 16:00,humana,43,0,"Since 2017, we’ve reduced our greenhouse gas emissions by 20 percent and diverted 63 percent of waste. Learn more about Humana's impact on the environment 🌎 💚 →https://huma.na/3yDdMjh",25.0,25.0,25.0,,,,,,,,,,,,,,
1847,6.9758e+18,14/09/2022 13:00,humana,127,1,"Our commitment to the health of our planet is stronger than ever. We recognize there is an undeniable link between our physical & emotional well-being & the health of the environment. 💚🌎

Learn more about Humana's impact on the health of the environment → https://huma.na/3KvlxMJ",5.0,5.0,,,,,,,,,,,,,,,
1871,6.96567e+18,17/08/2022 14:00,humana,33,0,"We realize that the sustainability of our business is connected to the health and well-being of our members & patients, employees, communities, healthcare system & environment. Learn more about our impact on the health of our business & the collective healthcare system → https://huma.na/3zl7ENC ",5.0,5.0,,,,,,,,,,,,,,,
1878,6.9606e+18,03/08/2022 14:00,humana,42,1,"Throughout our operations, we're dedicated to ensuring that every business decision we make reflects our commitment to accountability, health equity and improving the health and well-being of our customers, employees, communities we serve and environment. 💚 

Learn more in Humana's 2021 Impact Report → https://huma.na/3NrSFG7",5.0,5.0,,,,,,,,,,,,,,,
2102,6.98525e+18,10/10/2022 14:40,aramark,268,1,"Today we announced 44% of our residential dining menu offerings at more than 250 colleges and universities will be plant-based by 2025. 

“Aligned with our existing responsible sourcing commitments, this new target represents another step on our journey toward net zero emissions,” says Alan B. Horowitz, VP of Sustainability at Aramark. 

Learn more about our collaboration with The Humane Society of the United States: https://lnkd.in/eN5B2MG3  

#AramarkBeWellDoWell ",10.0,10.0,,10.0,,,,,,,,,,,,,
2123,6.97653e+18,16/09/2022 13:20,aramark,81,2,"We love smart tech! Aramark Intelligent Workplace Experience, or AIWX™ Connect, is a technology platform that uses wireless sensors to remotely gather information from building systems and occupant feedback. 
 
The 24/7 real-time data monitoring drives efficiencies, increases student satisfaction, improves staff productivity, and promotes safer learning environments.  

Learn more: https://lnkd.in/ejAm3YhP",5.0,5.0,,,,,,,,,,,,,,,
2198,6.98817e+18,18/10/2022 16:18,avaya,55,0,"We announced the release of our annual Corporate Responsibility Report, highlighting the positive impacts we have made in helping to address global challenges such as climate change, responsible consumption, equality, decent work, community support, and economic development. https://lnkd.in/g9yUN_Si #ExperiencesThatMatter",5.0,5.0,5.0,,,,,,,,,,,,,,
2436,6.96786e+18,23/08/2022 15:22,saicinc,29,1,"We are committed to being a good steward of the #environment and promoting community wellness. Not only do we promote initiatives to reduce our direct environmental impact, but we also prioritize serving the communities in which we live and work. 

To learn more about our environmental, social and governance highlights, click here: saic.co/crrmirvLI

#ESG #GiveAMealSAIC",10.0,10.0,,10.0,,,,,,,,,,,,,
2446,6.96354e+18,11/08/2022 17:14,saicinc,25,0,"We focus our #environmental efforts in three key areas — reducing #greenhousegas emissions, conserving energy and #recycling.  ​

For the first time, we have published a Task Force on Climate-Related Financial Disclosures (TCFD) to discuss our approach to evaluating and managing our climate-related risks. Enjoy this quote from our Chief Climate Scientist Stephen Ambrose and learn more by reading the report below. #ESG #climatechange",15.0,15.0,,,,15.0,,,,,,,,,,,
2524,6.95229e+18,11/07/2022 16:11,nordstrom,185,1,"We’re excited to be partnering with the National Retail Federation for the 2023 NRF Foundation Next Generation Scholarship where graduates will compete for a $25,000 scholarship. Semifinalists will spend the Summer developing a new Nordstrom sustainable brand that also helps reduce carbon footprint. We look forward to seeing the student’s impressive work as they tackle the complex challenges of sustainability within the retail industry. Read more about the scholarship below!",10.0,10.0,10.0,,,,,,,,,,,,,,
2572,6.91218e+18,22/03/2022 23:23,nordstrom,189,6,We know it’s critical to protect the environment and do our part to mitigate impact which is why we’ve partnered with the ZDHC Roadmap to Zero Programme to remediate the effects of hazardous chemicals in our Nordstrom Made products. Learn more below.,10.0,10.0,,10.0,,,,,,,,,,,,,
2789,6.98854e+18,19/10/2022 16:46,jabil,144,0,"Congrats to Jabil Taichung on their recognition as a ""Green Enterprise"" by the Taichung government as part of the city's Sunshine A+ Competition! This competition encourages businesses to demonstrate how they ""go green"" through environmental and energy-saving initiatives.

This year, the Jabil Taichung team designed rooftop solar energy systems, replaced traditional energy at high-power facilities with alternative sources and switched to eco-friendly lighting. The team gradually implemented different plans from 2016 to 2022, and in the end, they successfully reduced carbon emissions by 225 tons this year.

Jabil Taichung employees also showed their dedication to creating a green environment by cleaning up a shipping port together on World Oceans Day and Earth Day. Learn more about Jabil's #sustainability efforts: https://lnkd.in/e5QwTu6Q #WeAreJabil",85.0,85.0,55.0,,,30.0,,,,,,,,,,,
2801,6.97914e+18,23/09/2022 18:04,jabil,270,4,"Jabil is proud to recognize International Day of Sign Languages, dedicated to supporting and protecting the linguistic identity and diversity of all people who are deaf and users of sign language. The Jabil team in The Dominican Republic has integrated a sign language training program into their sites, aimed at any employee interested in taking the course to expand their skillset and build a sense of unity across colleagues of all abilities.

""Learning sign language has been enriching, as I have been able to be more sensitive to people who have abilities different from mine, and I have opened my mind even more to the needs that we still need to cover to be more inclusive. The activity was a small sample of how much we can do to integrate into this wonderful world of sign language, and I feel very grateful for the opportunity to live this experience,"" Kazumi Kawazoe, logistics coordinator, shared.

The commitment to #inclusion from the Dominican Republic is inspiring as we celebrate #IDSL and progress toward a more equitable environment every day. Watch the video to learn more: https://lnkd.in/ezt6zs52 ",5.0,5.0,,,,,5.0,,,,5.0,,,,,,
2819,6.96386e+18,12/08/2022 14:15,jabil,404,1,"Through the power of teamwork and a shared passion for protecting our planet, Jabil Santo Domingo brought employees together to beautify a nearby beach, Los Pescadores, in collaboration with Parley for the Oceans. Over 30 volunteers collected 260 kilograms of plastic and debris polluting the area. 🏖️ ♻️ 🚯 
 
""Helping with beach cleaning is an activity that opened my eyes to the current situation we are experiencing; taking care of our environment knowing that you are helping to create a cleaner environment for future generations is something very comforting,"" Cristian Pérez, IT Process Engineer, said. ""I feel happy that Jabil encourages us to participate in these types of activities.""
 
""The experience as a team of cleaning Los Pescadores beach was incredible! Working to remove as much plastic and garbage as possible from this polluted beach and knowing that we are contributing to a better environment was great,"" Nabila Galvez, buyer at Jabil, said. ""It always feels empowering to help and acknowledge the urgency for a solution and knowing that we are part of it."" 

Their results from this cleanup contribute to a cleaner tomorrow, and we are grateful for their dedication to one of Jabil's focus areas: the #environment! #JabilCares #WeAreJabil ",5.0,5.0,,,,,,,,,,,,,,,
